epoch,train_loss,train_accuracy,val_accuracy
1,1.9170504434435975,0.3086274509803922,0.29888888888888887
2,1.632717061323278,0.4252941176470588,0.41
3,1.5175181642233158,0.47,0.42444444444444446
4,1.4148403203253652,0.5015686274509804,0.45444444444444443
5,1.3612198213502473,0.5245098039215687,0.48777777777777775
6,1.2948486411337758,0.5372549019607843,0.44666666666666666
